n	CPPStd	CPPOpt	PASStd	PASOpt	JAVStd	JAVOpt	PYTStd	PYTOpt	PYTSug	JSStd	JSOpt	JSSug
1	0.012338	0.011570	0.000700	0.000900	0.066872	0.003305	0.013812	0.002875	0.004857	0.079203	0.040749	0.087626
2	0.017586	0.015246	0.000800	0.000800	0.021047	0.004344	0.014653	0.002772	0.005173	0.078508	0.039262	0.088209
3	0.014062	0.010839	0.000900	0.000900	0.021956	0.002612	0.014505	0.004025	0.005140	0.077693	0.038476	0.087427
4	0.014333	0.011320	0.001000	0.001000	0.023405	0.002997	0.016575	0.004269	0.005707	0.080728	0.041542	0.085224
10	0.014503	0.011346	0.001200	0.001100	0.022446	0.003206	0.016313	0.004491	0.006331	0.074956	0.041326	0.085747
19	0.014138	0.011791	0.001000	0.000800	0.022164	0.002623	0.018042	0.004176	0.006251	0.073034	0.038679	0.085909
36	0.014775	0.016710	0.001800	0.001400	0.023990	0.004071	0.023857	0.008041	0.011677	0.078545	0.040243	0.093856
100	0.031235	0.013540	0.002600	0.001500	0.027025	0.004336	0.022656	0.006703	0.012758	0.083534	0.044551	0.111504
250	0.017638	0.011455	0.004100	0.001500	0.031516	0.004461	0.029316	0.007219	0.019714	0.082828	0.043756	0.141197
500	0.018560	0.013999	0.007100	0.001900	0.038591	0.005260	0.046068	0.009548	0.036555	0.087996	0.043859	0.202463
1000	0.027235	0.014714	0.012500	0.002300	0.057039	0.005891	0.080117	0.011468	0.068764	0.099256	0.045514	0.290866
2137	0.036167	0.013535	0.023300	0.001300	0.093738	0.004233	0.145966	0.006700	0.136616	0.128986	0.038304	0.522004
10000	0.129475	0.017440	0.113300	0.003800	0.356964	0.010300	0.684309	0.017850	0.664937	0.376493	0.045111	2.289703
100000	1.153840	0.018999	1.053700	0.006900	2.930751	0.019283	6.692900	0.034062	6.827087	6.117428	0.068395	33.129395
1000000	10.910311	0.025120	10.102000	0.014200	18.214556	0.045059	65.522221	0.081754	63.365213	8.149342	0.096578	323.181219
10000000	104.670010	0.052253	95.713501	0.036500	110.917143	0.124235	615.002618	0.219233	618.686689	57.382716	0.177523	3013.079437
100000000	1019.400994	0.124029	986.526123	0.101700	1060.341533	0.366185	5679.852239	0.625971	5744.022211	478.781402	0.358241	OffTheScale
1000000000	9367.536746	0.370220	9048.711914	0.319800	9437.458954	1.019349	56577.424324	1.801382	57449.514091	4825.859005	2.483979	OffTheScale
2000000000	18739.639039	0.636500	18478.166016	0.515300	18745.725143	1.452606	213936.923204	4.236199	221195.866138	9631.765375	2.534752	OffTheScale
2147483646	20594.340457	0.564075	19397.140625	0.523500	20618.370475	1.606850	228264.589706	4.473619	228611.130448	10311.526161	2.553379	OffTheScale
2147483647	20575.634971	0.626700	19719.078125	0.508400	20710.245674	1.502894	226860.823384	4.202105	228727.993834	9106.061401	2.499009	OffTheScale
