n	PS	R	BC	Mathematica
1	2.331000	27.058363	2.205700	0.270
2	2.894900	29.518604	2.215500	0.138
3	2.452800	29.896498	2.280800	0.104
4	2.846300	29.701948	2.309000	0.072
10	2.701300	29.773235	2.300400	0.073
19	2.323600	29.644489	2.358700	0.079
36	4.414500	29.633045	2.476900	0.099
100	4.119500	29.699326	2.664700	0.092
250	4.005900	29.704809	2.706500	0.082
500	4.878300	29.776573	2.779200	0.099
1000	6.014700	29.645205	2.966000	0.121
2137	2.453200	29.626846	2.856900	0.061
10000	7.887100	29.814959	3.398600	0.207
100000	10.497300	30.101299	4.438200	0.249
1000000	13.735200	30.081272	6.403000	0.257
10000000	17.446199	30.641317	11.793900	0.369
100000000	20.922100	33.025265	26.869600	0.463
1000000000	25.788500	42.544842	76.915802	0.529
2000000000	29.336901	45.856953	104.437401	0.549
2147483646	45.647301	46.555519	160.132401	0.932
2147483647	6.753700	46.308279	109.134804	0.166


















